"Company Name","Company Site","Company Industries","Report Link","Report Year","Mean Hourly Gap","Median Hourly Gap","Mean Bonus Gap","Median Bonus Gap","Mean Hourly Gap Part Time","Median Hourly Gap Part Time","Mean Hourly Gap Part Temp","Median Hourly Gap Part Temp","Percentage Bonus Paid Female","Percentage Bonus Paid Male","Percentage BIK Paid Female","Percentage BIK Paid Male","Q1 Female","Q1 Men","Q2 Female","Q2 Male","Q3 Female","Q3 Male","Q4 Female","Q4 Male","Percentage Employees Female","Percentage Employees Male"
"Bord na Mona",https://www.bordnamona.ie/,Energy,https://www.bordnamona.ie/wp-content/uploads/2022/12/Bord-an-Mona-Gender-Pay-Gap-2022-Report-2.pdf,2022,-10.89,-8.2,-21.5,-16.8,-52.78,-44.65,0,0,48.37,39.02,9.77,8.39,21.54,78.46,8.31,91.69,14.15,85.85,22.22,77.78,,
"Boston Scientific",https://www.bostonscientific.com/en-EU/home.html,"Technology,Hardware,Medical",https://www.bostonscientific.com/en-EU/about-us/corporate-social-responsibility/people/diversity-and-inclusion/gender-pay-gap-reporting-irl/2022.html,2022,12.3,8.8,27.4,13.9,-9.3,-3.5,-4.7,-0.5,86.5,86.5,80,80,50.2,49.8,45.9,54.1,41.7,58.3,34.2,65.8,,
"Boyle Sports",https://www.boylesports.com/,"Retail,Gambling",https://web.archive.org/web/20230516162233/https://jobs.boylesports.com/wp-content/uploads/2023/01/Boylesports-Gender-Pay-Report-Final-Version-2022.pdf,2022,19.75,3.65,,64.15,-3.83,-0.59,,,50.86,49.14,,,62.91,37.09,53.89,46.11,61.48,38.52,47.54,52.46,56.46,43.54
"Britvic Ireland",http://www.britvic.com/,"Food & Drink",https://www.britvic.com/media/uirmrhd1/britvic-ireland-gender-pay-gap-report.pdf,2022,0.6,4.1,-35.4,-224.5,-46.4,-46.4,20.3,26.3,85.1,84.7,4.5,17.4,22.94,77.16,11.11,88.89,15.15,84.85,16,84,16,84
"Brothers of Charity",https://www.brothersofcharity.ie/,Charity,https://www.brothersofcharity.ie/pdfs/2022-Gender-Pay-Gap-Report.pdf,2022,-3.13,-7.05,,,-8.7,-10.09,-4.7,-12.09,,,,,73.59,26.41,73.19,26.81,76.61,23.39,76.21,23.79,,
"Brown Thomas Arnotts",https://www.arnotts.ie/store/,Retail,https://bta.scene7.com/is/content/brownthomas/arnotts/creative-arn/2023-creative-content/wk34/2022-Gender-Pay-Gap-Report-FINAL.pdf,2022,10.6,0.2,48.5,23.9,-14.7,-16.4,2.8,-1.5,79.5,71.5,2.2,2.8,69,31,73,27,72,28,69,31,,
"BT Communications Ireland Ltd",https://www.btireland.com/,"Technology,Telecommunications",https://www.btireland.com/docs/default-source/reports-and-policies--responsible-business/bt-ireland-gender-pay-gap-report-2022.pdf?sfvrsn=abf9f864_1/BT-Ireland-Gender-Pay-Gap-Report-2022.pdf,2022,11.3,19.7,32.9,10.7,47.9,19,-8.9,-11.8,68.4,79,90,84.2,39.9,60.1,29.1,70.9,29.1,70.9,22.2,77.8,30,70
"Bus Eireann",https://www.buseireann.ie/,"Public Service,Transport,Transport",https://www.buseireann.ie/pdf/1671724009-Gender-Pay-Gap-Report-2022.pdf,2022,-10.2,-5.6,7.2,0,6.2,25,0.9,4.8,15.1,48.6,2.2,3.2,12.2,87.8,4.7,95.3,3.9,96.1,19.7,80.3,,
"BWG Foods",https://www.bwg.ie/,"Food & Drink",https://web.archive.org/web/20230927221223/https://www.bwg.ie/bwg-foods-publishes-gender-pay-gap-report-for-2022/,2022,13.8,-4.2,14.85,-24.17,-29.12,-28.98,0,0,38.64,38.38,12.88,18.38,19.08,80.92,24.82,75.18,24.82,75.18,24.82,75.18,,
"C&C Group Plc (all legal entities)",https://candcgroupplc.com/,"Food & Drink",https://candcgroupplc.com/wp-content/uploads/2022/12/cc-gender-pay-gap-report-2022.pdf,2022,8.8,11.3,14.5,0,-44.6,4.2,,,17.9,16.4,26.8,18.7,18.3,81.7,6.3,93.7,4.8,95.2,15,85,11,89
"Cairn Homes",https://www.cairnhomes.com/,Construction,https://www.cairnhomes.com/media/m5zay0te/gpg-2022_final.pdf,2022,20.45,19.57,59.3,19.3,29.7,54.8,,,98,100,79.5,54.1,42,58,25,75,15,85,20,80,25.7,74.3
"Canada Life Group Services",https://www.canadalife.com/,"Insurance,Financial",https://assets-eu-01.kc-usercontent.com/ffd8d21b-ebd4-0151-55d5-297335c8f50f/da99f49b-b13c-445b-8de7-ec9d191b1a78/Canada%20Life%20Group%20Services%20Gender%20Pay%20report%202022%20%282%29.pdf,2022,19.8,15.4,58.6,29.5,61.7,53.9,10.3,-23.7,89,88.2,14.5,12.7,55.55,49.45,41.76,58.24,37.7,62.3,28.96,71.04,39.73,60.27
Capita,https://www.capita.com/,"Professional Services",https://www.capita.com/sites/g/files/nginej291/files/2022-12/Gender%20%26%20Ethnicity%20Pay%20Gap%20Report%202022.pdf,2022,11.24,1.59,30.45,0.15,13.77,-0.72,-2.94,-9.12,51.96,56.86,0,0.2,60.98,39.02,54.7,45.3,59.93,40.07,46.88,53.13,55.61,44.39
"Cappagh National Orthopaedic Hospital",https://nohc.ie/,Healthcare,https://nohc.ie/wp-content/uploads/2023/01/GPG-Final.pdf,2022,23.01,4.35,,,57.57,43.5,18.69,26.24,,,,,71.43,28.57,80.45,19.55,82.71,17.29,62.88,37.12,,
Carbery,https://www.carbery.com/,"Food & Drink",https://www.carbery.com/wp-content/uploads/2022/12/125.12.22-Gender-Report-2022-Final-2.pdf,2022,13.7,8.7,-38,-83.1,-42.2,-32.5,0,100,75.5,65.9,7.8,7.3,39.1,60.9,28.7,71.3,21.8,78.2,27.6,72.4,,
"Carey Glass",https://www.careyglass.com/,Manufacturing,https://www.careyglass.com/wp-content/uploads/2022/12/Gender-Pay-Gap-Report-2022.pdf,2022,0.69,3.87,63.1,18.45,,,,,52,76,7,3,,,,,,,,,18,82
"Carlow County Council",https://www.carlow.ie/,"Public Service,Council",https://web.archive.org/web/20230627021503/https://carlow.ie/wp-content/documents/uploads/Gender%20Pay%20Gap%20Report.pdf,2022,6.56,-8.08,,,1.03,2.52,-2.09,-11.25,,,,,40.45,59.55,28.09,71.91,51.09,48.91,41.38,58.62,40,60
"Carriglea Cairde Service",http://carrigleaservices.com/,Charity,http://carrigleaservices.com/wp-content/uploads/2022/12/Gender-Pay-Gap-Report-2022.pdf,2022,3.31,-0.46,,,1.45,1,,,,,,,84.7,15.3,84.5,15.5,85.9,14.1,86.1,13.9,85.3,14.7
"Carton House",https://www.cartonhouse.com/,"Hospitality,Hotel",https://www.cartonhouse.com/uploads/documents/GeneralDocuments/Carton_House_Gender_Pay_Gap_Report_2022.pdf,2022,9.5,4.7,92.2,96,-1.8,-0.3,,,18,1.1,3.6,3.4,50,50,49,51,42,58,36,64,44,56
CarTrawler,https://corporate.cartrawler.com/en-gb/,"Technology,Software",https://corporate.cartrawler.com/wp-content/uploads/2022/12/Gender-Pay-Gap-Report-2022.pdf,2022,29,34,30,31,-31,-18,-33,-30,81,73,80,83,67,33,59,41,42,58,27,73,,
"Castleknock Hotel",https://www.castleknockhotel.com/,"Hospitality,Hotel",https://www.castleknockhotel.com/cmsFiles/castleknock_hotel_-_gender_pay_report_2022.pdf,2022,13,1,-14,-248,5,1,,,2.3,6.3,0,0.7,62,38,53,47,50,50,54,46,55.2,44.8
"Castlemartyr Resort",https://www.castlemartyrresort.ie/,"Hospitality,Hotel",https://www.castlemartyrresort.ie/wp-content/uploads/2023/07/Gender-Pay-Gap-Report-2022-CMR.pdf,2022,12.73,2.75,,,-2.83,-1.28,0,0,,,2.21,3.45,61.29,38.71,60,40,46.67,53.33,35.71,64.29,,
"Cavan and Monaghan Education and Training Board",https://www.cmetb.ie/,Education,https://www.cmetb.ie/wp-content/uploads/2023/01/CMETB-Gender-Pay-Gap-Report-2022.pdf,2022,6.54,5.69,,,-13.88,6.5,,,,,,,51.45,48.55,50.18,49.82,47.57,52.43,52.44,46.56,74,26
"Cavan County Council",https://www.cavancoco.ie/,"Public Service,Council",https://www.cavancoco.ie/news/2022/ccc-gender-pay-gap-report-2022.pdf,2022,2.01,-8.31,,,-12.94,-10.5,19.94,25.64,,,,,34.62,65.38,28.46,71.54,45.74,54.26,40.77,59.23,38,62
"Center Parcs Ireland",https://www.centerparcs.ie/,"Hospitality,Hotel",https://corporate.centerparcs.co.uk/content/dam/corporate/gender-pay-gap-report-2022-ireland.pdf,2022,16.4,11.4,-13.7,0,,,,,10.2,6.1,0.1,0.7,81.8,18.2,63.7,36.3,56,44,51.3,48.7,62.09,37.9
"Central Bank of Ireland",https://www.centralbank.ie/,"Banking,Financial",https://www.centralbank.ie/docs/default-source/careers/gender-pay-gap-report/gender-pay-gap-report-2022.pdf,2022,4.9,0.4,,,24.1,23.8,6.9,0.1,,,20.7,18.2,53,47,51,49,47,53,47,53,35.87,64.12
"Central Remedial Clinic",https://www.crc.ie/,Healthcare,https://www.crc.ie/assets/files/pdf/crc_gpg_report.pdf,2022,-16.89,-28.96,,,0,-46.3,-3.3,-7.73,,,,,64.58,35.42,71.88,28.12,90.62,9.38,84.38,15.62,74,26
"Central Statistics Office (CSO)",https://www.cso.ie/en/index.html,"Public Service,Government",https://www.cso.ie/en/media/csoie/releasespublications/documents/corporatepublications/CSO_Gender_Pay_Gap_Report_2022.pdf,2022,8.5,5.9,,,1.1,-9.8,5.4,0,,,,,52.9,47.1,60.3,39.7,62.6,37.4,44.1,55.9,55.01,44.98
"Chadwicks Group",https://chadwicksgroup.ie/,Retail,https://chadwicksgroup.ie/gender-pay-gap/,2022,10.22,5.35,36.78,-17.46,-41.89,-45.01,8.34,-2.23,57.72,58.42,48.66,46.09,24.52,75.48,22.65,77.35,16.62,83.38,18.41,81.59,,
"Chanelle Pharma",https://chanellepharma.com/,Pharmaceutical,https://chanellepharma.com/wp-content/uploads/2023/05/Chanelle-Pharma-GPGR-2022-FINAL.pdf,2022,25.5,22.05,17,-80,,,,,42.5,57.5,36.2,63.8,,,,,,,,,40.7,59.3
"Cheshire Ireland",https://www.cheshire.ie/,Charity,https://static1.squarespace.com/static/5f4e4f19345cdb2453f34f31/t/63c01c7bcf425f01973ae30f/1673534590540/Gender+Pay+Gap+Report+2022.pdf,2022,1.25,-1.2,,,-4.06,-3.41,-1.67,3.01,,,,,73.3,26.7,72.16,27.84,79.55,20.45,78.98,21.02,,
"Chief State Solicitors Office",https://www.attorneygeneral.ie/csso/english/index.htm,Government,https://attorneygeneral.ie/pub/CSSO_Gender_Pay_Gap_Report_December_2022.pdf,2022,-4.94,-17.55,,,22.51,23.42,-6.91,6.25,,,,,58.75,41.25,58.75,41.25,64.56,35.44,67.9,32.1,62.5,37.5
"Children's Health Ireland",https://www.childrenshealthireland.ie/,Healthcare,https://media.childrenshealthireland.ie/documents/CHI-Gender-Pay-Gap-Report-Final-2.pdf,2022,26.3,4.4,,,40.9,7.2,23.2,25.8,,,,,81.1,18.9,89.8,10.2,92.1,7.9,74.6,25.4,84.4,15.6
Circet,https://www.circet.ie/,Telecommunications,https://www.circet.ie/medias/ireland-uk/Gender_Pay_Report_Circet_Ireland___UK_Combined-_December_2022.pdf,2022,3.4,15.4,14,19.3,,,,,56.1,33.5,,,33,67,8,92,7,93,16,84,,
"Circle K",https://www.circlek.ie/,Retail,https://www.circlek.ie/2022-news/circle-k-retail-gender-pay-gap-reporting-2022,2022,1.14,0.76,4.9,3.8,1.36,0.72,,,66.7,60.9,11.3,8.1,53,47,53.4,46.6,52,48,46.3,53.7,,
Cisco,https://www.cisco.com/,"Technology,Software,Hardware,Telecommunications",https://www.cisco.com/c/dam/global/en_uk/about/csr/irelandgenderpaygapreport-2022.pdf,2022,22,22.3,30.4,39.4,-2.6,15,3.6,0,93.1,92.6,94.3,92.6,29.3,70.7,29.3,70.7,19.6,80.4,16.1,83.9,26,74
"Citco Fund Services (Ireland) Limited",https://www.citco.com/,Financial,https://www.citco.com/uploads/documents/regulatory-disclosures/Citco-Fund-Services-Ireland-Limited-Gender-Pay-Gap-Report-2022.pdf,2022,19,11,41,33,,,2,1,41,59,76,72,45,55,45,55,45,55,30,70,41,59
"Citibank Europe Plc Ireland (CEP Ireland)",https://www.citigroup.com/global/about-us/global-presence/ireland,"Banking,Financial",https://www.citigroup.com/citi/about/countries-and-jurisdictions/data/IrelandGenderPayGapReport2022.pdf,2022,15,15,26,24,-8,-2,30,13,76,78,97,97,57,43,48,52,42,58,38,62,,
"Clare County Council",https://www.clarecoco.ie/,"Public Service,Council",https://www.clarecoco.ie/your-council/publications/gender-pay-gap-report-2022-49173.pdf,2022,-7.04,-15.73,,,-12.61,-2.12,7.38,11.07,,,,,31.6,68.4,30.8,69.2,41.6,58.4,46.8,53.2,38,62
"Coca Cola Ireland",https://www.coca-cola.com/ie/en,"Food & Drink",https://www.coca-cola.com/content/dam/onexp/ie/en/ireland-pay-gap/IrelandPayGap_2022_Final.pdf,2022,-2.9,-2.5,-31.2,-10.9,15.3,17,15.2,4.8,96.2,91.9,94.9,91,34.9,65.1,30.7,69.3,37.2,62.8,41.3,58.7,,
Cognizant,https://www.cognizant.com/uk/en,"Professional Services,Consultancy",https://www.cognizant.com/content/dam/connectedassets/cognizant-global-marketing/marketing-channels/cognizant-dotcom/uk/en/documents/ireland-gender-pay-gap-report-2022.pdf,2022,31.7,34.1,73.5,27.5,-5,22,-4,-3,75,67,,,57,43,51,49,35,65,17,83,64,36
Coillte,https://www.coillte.ie/,Government,https://www.coillte.ie/wp-content/uploads/2022/12/Coillte-Gender-Pay-Gap-Report.pdf,2022,-9.7,-5.32,21.6,12.4,-82.31,-138.3,-110.42,-103.67,86.4,64.42,100,100,8.85,91.15,40.52,59.48,33.94,66.06,27.43,72.57,28,72
"Compass Ireland",https://www.compass-group.ie/,"Food & Drink,Catering",https://www.compass-group.ie/media/xyyf0dhg/com_ireland_gender_pay_gap_report_final.pdf,2022,10.71,9.76,35.7,49.3,0,0.3,-7.8,-17.6,,,,,58.6,41.4,58.4,41.6,47.7,52.3,36.6,63.4,,
Concentrix,https://jobs.concentrix.com/global/en/country-page-ireland,"Professional Services",https://www.concentrix.com/wp-content/uploads/2022/12/Gender-Pay-Gap-Report-Ireland.pdf,2022,0.7,24.53,,,17.8,19.36,,,58.6,61.3,,,47,53,43,57,47,53,43,57,46.2,53.8
Concern,https://www.concern.net/,Charity,https://admin.concern.net/sites/default/files/documents/2022-12/119%20Gender%20Gap%20Report%20%281%29.pdf,2022,0.5,-0.7,100,0,-75,-83.4,5,1.1,,,,,57,43,37,63,49,41,49,51,48,52
"Cook Medical",https://www.cookmedical.eu/,"Technology,Hardware,Medical",https://www.cookmedical.eu/wp-content/uploads/2022/12/CORP-D66779-A-EN-F_M3.pdf,2022,9.9,4.3,31.6,6.5,42.9,57.8,-0.7,0,90.3,88.7,89.5,88.7,50.6,49.4,59.5,40.5,57.8,42.2,44.7,55.3,53.16,46.83
"Cope Foundation",https://www.cope-foundation.ie/,Charity,https://www.cope-foundation.ie/Portals/0/Gender%20Pay%20Gap%20Report.pdf,2022,-3.34,-3.61,,,-19.48,-32.14,4.91,2.4,,,,,88.44,11.56,80.92,19.08,81.21,18.79,82.32,17.68,83,17
"Core Media",https://www.onecore.ie/,Marketing,https://static1.squarespace.com/static/618ed4140aeae666976e4752/t/65845cc7e581504d042e63c6/1703173321935/Core+Gender+Pay+Gap+2022.pdf,2022,14.72,13.34,0,0,,,,,100,100,84,86,56,44,57,43,59,41,44,56,54,46
"Cork City Council",https://www.corkcity.ie/en/,"Public Service,Council",https://www.corkcity.ie/en/council-services/public-info/publications/gender-pay-gap-report/gender-pay-gap-report.html?searchTermId=227175,2022,5.41,-7.55,,,-0.72,-8.04,13.03,12.09,,,,,46.13,53.87,17.05,82.95,49.35,50.65,25.77,74.23,34,66
"Cork County Council",https://www.corkcoco.ie/en,"Public Service,Council",https://www.corkcoco.ie/sites/default/files/2022-12/cork-county-council-gender-pay-gap-report-2022.pdf,2022,1.29,-3.59,,,-5.56,-0.94,25.26,13.93,,,,,33.38,66.62,32.3,67.7,41.8,58.2,35.55,64.45,65,35
"Cork Education and Training Board",https://www.corketb.ie/,Education,https://www.corketb.ie/wp-content/uploads/2023/01/ETB-Gender-pay-gap-statement-2022-English-Version.pdf,2022,4.95,3.15,,,-7.08,-0.54,,,,,,,47.33,52.67,50.27,49.73,52,48,50.05,49.95,70.05,29.95
"Corrib Oil",https://corriboil.com/,Retail,https://corriboil.com/h2-properties-ulc-gender-pay-gap-reporting-2022/,2022,3.33,-1.55,-42,-6,-2.32,-0.25,0,0,41,77,0,0,59,41,67,33,73,27,65,35,65,35
"CPL:  Computer Placement Limited",https://www.cpl.com/ie,"Human Resources",https://www.cpl.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBN0piTXc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--ca35dc9793161920774bc93d6516d94824180039/Cpl%20Gender%20Pay%20Gap%20Report%20-%20Ireland%202022.pdf,2022,11,11,38,29,-35,-23,,,65,71,12,11,81,19,68,32,67,33,58,42,69,31
"CPL:  Flexible Talent Workforce",https://www.cpl.com/ie,"Human Resources",https://www.cpl.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBN0piTXc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--ca35dc9793161920774bc93d6516d94824180039/Cpl%20Gender%20Pay%20Gap%20Report%20-%20Ireland%202022.pdf,2022,-12,-16,-1.4,-9.4,,,,,16.3,8.8,8.05,9.83,33.66,66.34,43.29,56.71,49.47,50.53,55.75,44.25,55,45
"Creganna Medical Ireland Limited",https://www.te.com/usa-en/products/brands/creganna.html,Medical,https://www.te.com/content/dam/te-com/documents/about-te/corporate-responsibility/global/CregannaGenderPayGapReport2022.pdf,2022,15.6,4.4,16.5,-7.1,-5.2,-4.8,-6.2,-2.5,92.7,91.8,79.9,73,44.5,55.5,40,60,41.7,58.3,25.5,74.5,,
"CRH: CRH Group Services Limited",https://www.crh.com/,Manufacturing,https://www.crh.com/media/4369/crh-group-services-gender-pay-gap-report-2022.pdf,2022,59,32,72.3,55.6,-64.4,-12.8,74.5,-106.4,85.4,89.5,19.5,39.5,54.9,45.1,60.4,39.6,38.5,61.5,26.4,73.6,15,85
"CRH: Irish Cement",https://www.irishcement.ie/,Manufacturing,https://www.crh.com/media/4367/irish-cement-gender-pay-gap-report-2022.pdf,2022,7,-7,2,0,,,37,46,70,90,65,89,15,85,7,93,22,78,11,89,14,86
"CRH: Roadstone",https://roadstone.ie/,Manufacturing,https://www.crh.com/media/4368/roadstone-gender-pay-gap-report-2022.pdf,2022,7,-1,16,8,-65,-67,8,8,88,95,12,36,20,80,10,90,22,78,11,89,16,84
"Currys Ireland Ltd",https://www.currys.ie/,Retail,https://www.currysplc.com/media/avdj2x4b/currys-gender-pay-gap-2022-roi-v7.pdf,2022,-1.6,0.9,10.2,-9.8,-1.7,0.3,,,91.6,89.8,100,100,34.1,65.9,37.7,62.3,33.3,66.7,32.4,67.6,,
"daa (Dublin Airport Authority)",https://www.daa.ie/,Aviation,https://www.daa.ie/wp-content/uploads/2022/12/daa-Gender-Pay-Gap-Report-2022.pdf,2022,12.2,12.8,0,0,-0.4,-1.2,-22.5,-12.5,0,0,91.9,92.6,48.5,51.5,39.7,60.3,34.7,65.3,29.4,70.6,,
Dairygold,https://www.dairygold.ie/,"Food & Drink",https://www.dairygold.ie/wp-content/uploads/2022/12/2022-Gender-Pay-Gap-Report.pdf,2022,12.3,13.2,42.5,38.3,-38.1,-13,7,3,43,28.4,83,87,33.5,66.5,38.2,61.8,25,75,24.6,75.4,30,70
"Dalata Hotel Group",https://dalatahotelgroup.com/,"Hospitality,Hotel",https://dalatahotelgroup.com/wp-content/uploads/2023/08/Gender-Pay-Gap-Report-2022.pdf,2022,7.8,4,36.4,27.1,2.9,0.6,,,6,4.8,1.1,1.1,63,37,60,40,54,46,45,55,,
"Danone Ireland",https://www.danone.ie/,"Food & Drink",https://www.danone.ie/content/dam/corp/local/gbr/irl/Danone%20IRELAND%20Gender%20Pay%20Gap%20Report%202022_Final.pdf,2022,2.01,6.66,,,26.43,-16.32,31.42,35.94,67.78,92.54,0,0,50.25,49.75,18.5,81.5,18.91,81.09,31.5,68.5,,
Davy,https://www.davy.ie/,Financial,https://www.davy.ie/binaries/content/assets/davy/legal/disclosures/2022/davy_gender-pay-gap_2022_report.pdf,2022,47.9,29.4,68.4,52.3,39.2,58.6,26.6,-0.3,86.3,89.8,88,91,51,49,55,45,43,57,21,79,43,57
"Dawn Meats",https://www.dawnmeats.com/,"Food & Drink",https://cdgdawnmeats.wpenginepowered.com/wp-content/uploads/2023/01/Dawn-Meats-Gender-Pay-Gap-Report-2022.pdf,2022,10,4,65,75,,,,,5,6,0,2,24,76,21,70,18,82,16,84,20,80
"DB Schenker",https://www.dbschenker.com/,Logistics,https://www.dbschenker.com/resource/blob/826512/87aa60ce644fa278cbe2447147c19499/gender-pay-gap-ireland-2022-data.pdf,2022,3.45,-17.41,35.06,0,,,,,63.03,70.27,42.65,32.42,21,79,27,73,50,50,39,61,34,66
Dealz,https://www.dealz.ie/,Retail,https://www.dealz.ie/great-ideas/wp-content/uploads/2023/02/ROI-Gender-Pay-Gap-Report-2022.pdf,2022,8.17,-120.17,6.46,-304.2,11.8,24.5,8,14.9,8.21,12.52,0.28,1.96,70,30,74,26,67,33,42,58,,
"Dell Technologies Ireland: Dell Products",https://www.dell.com/en-ie,"Technology,Hardware",https://www.delltechnologies.com/asset/en-ie/solutions/business-solutions/briefs-summaries/gender-pay-gap-report-ireland-2021-22.pdf,2022,15,9.1,33.1,14.3,49.5,45.9,2.44,0.7,90.2,94.4,92,95.5,42.3,57.5,34.6,65.4,31.9,68.1,27.8,72.2,67,33
"Dell Technologies Ireland: EMC International ",https://www.dell.com/en-ie,"Technology,Software,Hardware",https://www.delltechnologies.com/asset/en-ie/solutions/business-solutions/briefs-summaries/gender-pay-gap-report-ireland-2021-22.pdf,2022,11.4,11.7,25.6,26.8,-154.7,-122.6,-4.3,-23.1,94.3,96.3,93.9,96.9,42.3,57.7,30.3,69.7,26.5,73.5,25.4,74.6,67,33
"Deloitte Ireland (excluding partners)",https://www2.deloitte.com/ie/en.html,"Professional Services,Consultancy,Accountancy",https://www2.deloitte.com/ie/en/pages/about-deloitte/articles/2022-gender-pay-gap.html,2022,7.47,7.81,12.8,0,17.32,42.45,1.41,1.54,58,56,57,53,49.62,50.38,53.18,46.82,50.83,49.17,44.04,55.96,47,53
"Dental Care Ireland",https://www.dentalcareireland.ie/,Healthcare,https://www.dentalcareireland.ie/wp-content/uploads/2022/12/dci-gender-pay-gap-report.pdf,2022,16,-4,,,-85,-36,,,,,100,100,99,1,99,1,96,4,99,1,98,2
"Department of Agriculture Food & Marine",https://www.gov.ie/en/organisation/department-of-agriculture-food-and-the-marine/,"Public Service,Government",https://www.gov.ie/en/publication/fa24b-dafm-gender-pay-gap-report-2022/,2022,9.5,12.7,,,8.24,10.89,-27.9,0,,,,,46,54,61.52,38.48,45.63,54.37,37.83,62.17,47.85,52.15
"Department of Children Equality Disability Integration and Youth",https://www.gov.ie/en/organisation/department-of-children-equality-disability-integration-and-youth/,"Public Service,Government",https://www.gov.ie/pdf/?file=https://assets.gov.ie/243742/b80b748d-47ef-4895-98c2-b3de962c86c9.pdf#page=null,2022,-3.63,-19.23,,,-89.1,-34.86,2.25,0,,,,,52.48,47.52,51.43,48.57,61.43,38.57,58.16,41.84,55.87,44.13
"Department of Education",https://www.gov.ie/en/organisation/department-of-education/,"Public Service,Government",https://www.gov.ie/en/publication/15287-department-of-education-gender-pay-gap-report-2022/,2022,4.96,6.43,,,1.33,8.87,1.67,-1.75,,,,,71.5,28.5,80.34,19.66,67.17,32.83,71.11,28.89,72.55,27.45
"Department of Enterprise Trade and Employment",https://enterprise.gov.ie/en/,"Public Service,Government",https://enterprise.gov.ie/en/publications/publication-files/report-on-the-gender-pay-gap-in-dete-2022.pdf,2022,10.6,19.6,,,19.62,7.12,-2.53,-5.87,,,,,65.43,34.57,58.4,41.6,51.65,59.5,48.35,51.65,58,42
"Department of Finance",https://www.gov.ie/en/organisation/department-of-finance/,"Public Service,Government",https://www.gov.ie/en/publication/51f6a-department-of-finance-gender-pay-report-2022/,2022,12.28,3.08,,,42.04,45.34,,,,,4.3,2.2,46.25,53.75,41.98,58.02,50.63,49.37,35.8,64.2,43.61,56.39
"Department of Foreign Affairs",https://www.dfa.ie/,"Public Service,Government",https://www.dfa.ie/media/dfa/aboutus/ourcommitments/Gender-Pay-Gap---2022-report.pdf,2022,13.87,8.24,,,,,3.8,8.24,,,,,59.45,40.55,61.13,38.87,62.18,37.82,44.44,55.56,56,44
"Department of Further and Higher Education Research Innovation and Science",https://www.gov.ie/en/organisation/department-of-higher-education-innovation-and-science/,"Public Service,Government",https://www.gov.ie/pdf/?file=https://assets.gov.ie/267607/1cbfa80b-397b-4934-9c67-46ea85fe28d1.pdf#page=null,2022,7.66,-1.93,,,14.34,20.98,,,,,,,57.14,42.86,67.92,32.08,66.07,33.93,61.11,38.89,63,37
"Department of Health",https://www.gov.ie/en/organisation/department-of-health/,"Public Service,Government",https://www.gov.ie/en/publication/2ca65-gender-pay-gap-report-december-2022/,2022,6.75,3.45,,,-16.55,-18.87,,,,,,,55.97,44.03,55.35,44.65,54.43,45.57,50.31,49.69,57,43
"Department of Housing Local Government and Heritage",https://www.gov.ie/en/organisation/department-of-housing-local-government-and-heritage/,"Public Service,Government",https://www.gov.ie/pdf/?file=https://assets.gov.ie/245595/935acd53-4853-4f98-9036-4e62cf5ec772.pdf#page=null,2022,6.3,7.01,,,1.05,3.73,0.26,1.86,,,,,50.92,49.08,54.03,45.97,45.62,54.38,43.12,56.88,51.5,48.5
"Department of Justice and the
Probation Service: Probation Service",https://www.gov.ie/en/organisation/department-of-justice/,"Public Service,Government",https://www.gov.ie/en/publication/6787e-report-on-the-gender-pay-gap-department-of-justice-and-the-probation-service-2022/,2022,-1,1,,,9.59,0,,,,,,,70,30,80,20,74,26,74,26,75,25
